Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,
"C10, C5, C7, C9",0603,4,0.1uF,
C2,0805,1,22uF,
C3,0805,1,1uF,
C4,0805,1,2.2uF,
"C6, C8",0603,2,1uF,
"D1, D2, D3",D_SMA,3,B340A,
J1,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
"J2, J3, J4, J5",Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical,4,C2982037,
"L-ESP32-C3, R-ESP32-C3",PinSocket_2x08_P2.54mm_Vertical,2,C30734,
"L_HIGHDRIVE4_1, L_HIGHDRIVE4_2, R_HIGHDRIVE4_1, R_HIGHDRIVE4_2",PinSocket_1x14_P2.54mm_Vertical,4,C2905420,
"MUX1, MUX2",TSSOP-24_4.4x7.8mm_P0.65mm,2,TCA9548APWR,
"P0, P1, P2, P3, P4, P5, P6, P7",Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical,8,MOLEX 530470410,
"Q0, Q1, Q2, Q3, Q4, Q5, Q6, Q7",Molex_PicoBlade_53047-0610_1x06_P1.25mm_Vertical,8,MOLEX 530470610,
Q8,SOT95P280X125-3N,1,AO3407A,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R7, R8",0603,34,4.7k,
R5,0805,1,10k,
R9,0603,1,10k,
S1,SW_TL2285EE,1,TL2285EE,
SPI_SD-CARD_1,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
U1,SOT-223-3_TabPin2,1,TLV76133DCY,
U2,TO-252-2,1,AZ1084CD-5.0TRG1,
U3,SOP50P310X90-8N,1,TCA9406DCUR,
