Designator,Mid X,Mid Y,Rotation,Layer
C1,67.35,-108.525,270.0,top
C10,56.2375,-59.25,180.0,top
C2,59.565,-113.6,0.0,top
C3,46.265,-112.0,0.0,top
C4,42.065,-112.0,180.0,top
C5,33.725937,-70.74,270.0,top
C6,30.975937,-70.74,270.0,top
C7,31.1025,-41.3025,270.0,top
C8,28.3525,-41.3025,270.0,top
C9,56.2375,-52.15,0.0,top
D1,79.4025,-103.6,270.0,top
D2,50.015,-106.5,90.0,top
D3,62.915,-101.8,180.0,top
J1,86.8775,-103.25,180.0,top
J2,94.0,-85.135,270.0,top
J3,65.0,-85.135,90.0,top
J4,65.0,-24.89,90.0,top
J5,94.0,-24.89,270.0,top
L-ESP32-C3,36.88,-24.84,0.0,top
L_HIGHDRIVE4_1,71.7,-77.51,0.0,top
L_HIGHDRIVE4_2,87.0,-32.51,180.0,top
MUX1,30.600937,-77.60875,270.0,top
MUX2,27.99,-48.1775,270.0,top
P0,17.630441,-38.1,0.0,top
P1,17.630441,-45.4,0.0,top
P2,17.6525,-52.7,0.0,top
P3,17.6525,-60.0075,0.0,top
P4,38.2775,-62.1025,180.0,top
P5,38.2775,-54.8025,180.0,top
P6,38.2775,-47.52,180.0,top
P7,38.2775,-40.24,180.0,top
Q0,18.963437,-67.280375,0.0,top
Q1,18.963437,-74.580375,0.0,top
Q2,18.963437,-81.880375,0.0,top
Q3,18.963437,-89.180375,0.0,top
Q4,42.188437,-91.174625,180.0,top
Q5,42.213437,-83.8975,180.0,top
Q6,42.213437,-76.5975,180.0,top
Q7,42.213437,-69.2975,180.0,top
Q8,72.145,-101.8,180.0,top
R-ESP32-C3,54.72,-24.84,0.0,top
R10,19.674559,-41.3025,270.0,top
R11,18.174559,-41.3025,270.0,top
R12,19.6525,-48.6025,270.0,top
R13,18.174559,-48.6025,270.0,top
R14,19.674559,-55.9025,270.0,top
R15,18.174559,-55.9025,270.0,top
R16,19.674559,-63.2025,270.0,top
R17,18.174559,-63.2025,270.0,top
R18,36.2525,-58.9025,90.0,top
R19,37.7525,-58.9025,90.0,top
R20,36.2525,-51.6025,90.0,top
R21,37.7525,-51.6025,90.0,top
R22,36.2525,-44.32,90.0,top
R23,37.7525,-44.32,90.0,top
R24,36.2525,-37.04,90.0,top
R25,37.7525,-37.04,90.0,top
R26,17.113437,-70.4525,270.0,top
R27,20.813437,-70.4525,270.0,top
R28,17.113437,-77.7525,270.0,top
R29,20.813437,-77.7525,270.0,top
R30,17.113437,-85.0525,270.0,top
R31,20.813437,-85.0525,270.0,top
R32,17.113437,-92.330375,270.0,top
R33,20.838437,-92.330375,270.0,top
R34,44.063437,-88.024625,90.0,top
R35,40.263437,-88.024625,90.0,top
R36,44.063437,-80.724625,90.0,top
R37,40.363437,-80.724625,90.0,top
R38,44.063437,-73.424625,90.0,top
R39,40.363437,-73.424625,90.0,top
R40,44.063437,-66.124625,90.0,top
R41,40.313437,-66.174625,90.0,top
R5,76.0025,-101.825,90.0,top
R7,27.463437,-70.7525,90.0,top
R8,24.9025,-41.3025,90.0,top
R9,54.25,-55.7,270.0,top
R_HIGHDRIVE4_1,87.0,-77.51,0.0,top
R_HIGHDRIVE4_2,71.7,-32.51,180.0,top
S1,73.0025,-109.3,270.0,top
SPI_SD-CARD_1,28.85,-22.31,0.0,top
U1,43.015,-106.5,270.0,top
U2,59.9,-108.525,180.0,top
U3,56.25,-55.695,270.0,top
