Designator,Footprint,Quantity,Value,LCSC Part #
BMP580,BMP580,1,~,
"C1, C3, C5",0603,3,0.1uF,
"C2, C4, C6",0603,3,1uF,
C39,0805,1,1uF,
C40,0805,1,2.2uF,
"D1, D2",0603,2,LD271,
"D3, D4",D_SMA,2,B340,
J1,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
"L-ESP32-C3, R-ESP32-C3",PinSocket_2x08_P2.54mm_Vertical,2,Conn_02x08_Odd_Even,
"MUX1, MUX2",TSSOP-24_4.4x7.8mm_P0.65mm,2,TCA9548APWR,
"P0, P1, P2, P3, P4, P5, P6, P7",Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical,8,Conn_01x04,
"Q0, Q1, Q2, Q3, Q4, Q5, Q6, Q7",Molex_PicoBlade_53047-0610_1x06_P1.25mm_Vertical,8,Conn_01x06,
"Q8, Q9",SOT95P280X125-3N,2,AO3407A,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R45, R5, R6, R7, R8, R9",0603,42,4.7k,
"R42, R43",0805,2,5.1k,
"R44, R48",0603,2,200,
"R46, R47",0805,2,10k,
S1,SW_TL2285EE,1,TL2285EE,
SPI_SD-CARD_1,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
U1,SOT-223-3_TabPin2,1,TLV76133DCY,
