Designator,Mid X,Mid Y,Rotation,Layer
BMP580,75.5625,-16.1,270.0,top
C1,66.33125,-43.49875,270.0,top
C2,63.58125,-43.49875,270.0,top
C3,31.24375,-43.3,270.0,top
C39,69.4,-32.85,0.0,top
C4,28.49375,-43.3,270.0,top
C40,65.2,-32.85,180.0,top
C5,80.0625,-16.115,270.0,top
C6,78.5625,-16.1,270.0,top
D1,95.57625,-30.45,180.0,top
D2,96.85,-38.45,180.0,top
D3,73.4,-28.25,90.0,top
D4,81.65,-22.8,0.0,top
J1,96.625,-22.8,90.0,top
L-ESP32-C3,36.88,-24.84,0.0,top
MUX1,63.20625,-50.3675,270.0,top
MUX2,28.13125,-50.175,270.0,top
P0,17.771691,-40.0975,0.0,top
P1,17.771691,-47.3975,0.0,top
P2,17.79375,-54.6975,0.0,top
P3,17.79375,-62.005,0.0,top
P4,38.41875,-64.1,180.0,top
P5,38.41875,-56.8,180.0,top
P6,38.41875,-49.5175,180.0,top
P7,38.41875,-42.2375,180.0,top
Q0,51.56875,-40.039125,0.0,top
Q1,51.56875,-47.339125,0.0,top
Q2,51.56875,-54.639125,0.0,top
Q3,51.56875,-61.939125,0.0,top
Q4,74.79375,-63.933375,180.0,top
Q5,74.81875,-56.65625,180.0,top
Q6,74.81875,-49.35625,180.0,top
Q7,74.81875,-42.05625,180.0,top
Q8,78.1,-29.58,270.0,top
Q9,96.25,-34.25,0.0,top
R-ESP32-C3,54.72,-24.84,0.0,top
R1,60.06875,-43.51125,90.0,top
R10,49.71875,-65.089125,270.0,top
R11,53.44375,-65.089125,270.0,top
R12,76.66875,-60.783375,90.0,top
R13,72.86875,-60.783375,90.0,top
R14,76.66875,-53.483375,90.0,top
R15,72.96875,-53.483375,90.0,top
R16,76.66875,-46.183375,90.0,top
R17,72.96875,-46.183375,90.0,top
R18,76.66875,-38.883375,90.0,top
R19,72.91875,-38.933375,90.0,top
R2,62.62875,-38.20125,0.0,top
R20,70.9125,-16.625,90.0,top
R21,72.4125,-14.975,270.0,top
R22,75.3125,-19.2,90.0,top
R23,25.04375,-43.3,90.0,top
R24,27.56875,-38.25,0.0,top
R25,29.24375,-39.8,0.0,top
R26,19.815809,-43.3,270.0,top
R27,18.315809,-43.3,270.0,top
R28,19.79375,-50.6,270.0,top
R29,18.315809,-50.6,270.0,top
R3,64.32875,-40.00125,0.0,top
R30,19.815809,-57.9,270.0,top
R31,18.315809,-57.9,270.0,top
R32,19.815809,-65.2,270.0,top
R33,18.315809,-65.2,270.0,top
R34,36.39375,-60.9,90.0,top
R35,37.89375,-60.9,90.0,top
R36,36.39375,-53.6,90.0,top
R37,37.89375,-53.6,90.0,top
R38,36.39375,-46.3175,90.0,top
R39,37.89375,-46.3175,90.0,top
R4,49.71875,-43.21125,270.0,top
R40,36.39375,-39.0375,90.0,top
R41,37.89375,-39.0375,90.0,top
R42,89.025,-21.75,0.0,top
R43,89.025,-23.85,0.0,top
R44,92.47625,-30.45,180.0,top
R45,73.85,-19.2,270.0,top
R46,78.1,-25.7,180.0,top
R47,91.8925,-34.2625,270.0,top
R48,96.875,-36.85,180.0,top
R5,53.41875,-43.21125,270.0,top
R6,49.71875,-50.51125,270.0,top
R7,53.41875,-50.51125,270.0,top
R8,49.71875,-57.81125,270.0,top
R9,53.41875,-57.81125,270.0,top
S1,85.5,-31.7,0.0,top
SPI_SD-CARD_1,28.85,-21.55,0.0,top
U1,66.15,-27.35,270.0,top
